ISS.UTCGregorian,ISS.UTCModJulian,ISS.ElapsedSecs,ISS.ICRF.X,ISS.ICRF.Y,ISS.ICRF.Z,Earth.ICRF.X,Earth.ICRF.Y,Earth.ICRF.Z,Sun.ICRF.X,Sun.ICRF.Y,Sun.ICRF.Z,SolarSystemBarycenter.ICRF.X,SolarSystemBarycenter.ICRF.Y,SolarSystemBarycenter.ICRF.Z
13 Sep 2024 13:37:21.222,30567.06760673201,68259.22164606163,147647130.5115713,-22415558.17913456,-9688816.706539001,147643692.9466315,-22421433.30316813,-9688691.685140543,-969759.5184645355,-621046.080624599,-238090.127459852,0,0,0
13 Sep 2024 13:38:52.887,30567.06866766888,68350.88659155881,147647119.1578599,-22412915.16499148,-9688297.466950415,147644079.6299336,-22418969.95136997,-9687623.908586688,-969758.4744224846,-621046.7751156501,-238090.4453504588,0,0,0
13 Sep 2024 13:40:24.559,30567.06972869243,68442.55902607692,147647075.4780563,-22410336.22413098,-9687771.009637607,147644466.2963029,-22416506.39142283,-9686556.041835587,-969757.4302943051,-621047.4696619958,-238090.7632664293,0,0,0
13 Sep 2024 13:41:56.243,30567.07078985125,68534.2431480065,147647004.0371256,-22407822.46951054,-9687231.543982973,147644852.9634326,-22414042.51049984,-9685488.03598077,-969756.3860321343,-621048.1642954424,-238091.0812223181,0,0,0
13 Sep 2024 13:43:27.941,30567.07185116813,68625.94092657091,147646909.6942316,-22405374.38629966,-9686673.427617069,147645239.6396072,-22411578.25567884,-9684419.868082345,-969755.3416135907,-621048.8590309024,-238091.3992249537,0,0,0
13 Sep 2024 13:44:59.654,30567.0729126599,68717.65381550649,147646797.5522156,-22402991.77483507,-9686091.21652163,147645626.3309342,-22409113.58789016,-9683351.521204995,-969754.2970220745,-621049.5538793989,-238091.7172793821,0,0,0
13 Sep 2024 13:46:31.384,30567.07397435455,68809.38423288753,147646672.9020337,-22400673.71420324,-9685479.712830169,147646013.0475828,-22406648.44214822,-9682282.967179773,-969753.2522300184,-621050.2488592416,-238092.0353939869,0,0,0
13 Sep 2024 13:48:03.132,30567.07503624681,68901.13172420533,147646541.1722758,-22398418.66825786,-9684834.045083094,147646399.7876094,-22404182.83066428,-9681214.211299844,-969752.2072427273,-621050.9439669922,-238092.3535671867,0,0,0
13 Sep 2024 13:49:34.898,30567.07609835644,68992.89799622493,147646407.8653337,-22396224.37416243,-9684149.686343795,147646786.5581798,-22401716.70756769,-9680145.233681908,-969751.162040621,-621051.6392155774,-238092.6718049087,0,0,0
13 Sep 2024 13:51:06.681,30567.07716066308,69084.68129000394,147646278.5072662,-22394088.00272861,-9683422.542653687,147647173.3518521,-22399250.12012494,-9679076.054814342,-969750.1166438162,-621052.3345916755,-238092.9901010469,0,0,0
13 Sep 2024 13:52:38.480,30567.07822314981,69176.48014394799,147646158.5836459,-22392006.09442235,-9682648.971717628,147647560.1624407,-22396783.10761209,-9678006.69172195,-969749.0710688829,-621053.0300842114,-238093.3084505312,0,0,0
13 Sep 2024 13:54:10.294,30567.0792858048,69268.29353525536,147646053.4811131,-22389974.59502245,-9681825.819509117,147647946.9856119,-22394315.6975134,-9676937.156318208,-969748.0253275931,-621053.7256854288,-238093.6268498171,0,0,0
13 Sep 2024 13:55:42.118,30567.08034858528,69360.11776813539,147645968.4333188,-22387988.96699939,-9680950.482836558,147648333.8057745,-22391847.98914818,-9675867.491654549,-969746.9794619083,-621054.4213673286,-238093.9452860896,0,0,0
13 Sep 2024 13:57:13.949,30567.08141145062,69451.94933413295,147645908.4604682,-22386044.17288639,-9680020.915142355,147648720.6081341,-22389380.0768023,-9674797.738600584,-969745.9335118532,-621055.1171033345,-238094.2637471762,0,0,0
13 Sep 2024 13:58:45.784,30567.08247435137,69543.78395816311,147645878.3157266,-22384134.7507277,-9679035.658709478,147649107.3746755,-22386912.07536545,-9673727.946956949,-969744.8875261247,-621055.8128610626,-238094.5822182577,0,0,0
13 Sep 2024 14:00:17.618,30567.083537247,69635.61814120039,147645882.4330391,-22382254.8414347,-9677993.845112646,147649494.09066,-22384444.07887236,-9672658.157484392,-969743.8415445983,-621056.5086139776,-238094.9006871935,0,0,0
13 Sep 2024 14:01:49.447,30567.08460007701,69727.44665356586,147645924.8791297,-22380398.30430583,-9676895.23337874,147649880.7340701,-22381976.22786947,-9671588.431104826,-969742.7956267893,-621057.2043224946,-238095.2191358525,0,0,0
13 Sep 2024 14:03:21.266,30567.08566280032,69819.26594814286,147646009.3095311,-22378558.71462332,-9675740.174722737,147650267.2899825,-22379508.61768644,-9670518.809140299,-969741.7498130798,-621057.8999597132,-238095.5375519302,0,0,0
13 Sep 2024 14:04:53.071,30567.08672535528,69911.07069655554,147646138.9269156,-22376729.50415384,-9674529.651046664,147650653.7359824,-22377041.39153336,-9669449.353667311,-969740.7041642666,-621058.5954852737,-238095.8559169509,0,0,0
13 Sep 2024 14:06:24.857,30567.08778769625,70002.85695595667,147646316.4484003,-22374903.96989105,-9673265.226121899,147651040.0555015,-22374574.65536073,-9668380.11061166,-969739.6587251425,-621059.2908693105,-238096.1742172409,0,0,0
13 Sep 2024 14:07:56.620,30567.0888497698,70094.62011053693,147646544.0734043,-22373075.38915687,-9671949.055643365,147651426.2291437,-22372108.53323136,-9667311.133750174,-969738.6135483384,-621059.9860768467,-238096.4924367983,0,0,0
13 Sep 2024 14:09:28.359,30567.08991156629,70186.35932734469,147646823.472039,-22371237.00451059,-9670583.799253598,147651812.2534413,-22369643.04753681,-9666242.432788774,-969737.5686433315,-621060.6811015792,-238096.8105727304,0,0,0
13 Sep 2024 14:11:00.070,30567.09097303279,70278.07003331836,147647155.7477847,-22369382.24707942,-9669172.700241361,147652198.1091929,-22367178.32118452,-9665174.061003473,-969736.5240622163,-621061.3759088516,-238097.1286091767,0,0,0
